id,question,chapter,rightanswer,wronganswer1,wronganswer2,wronganswer3,wronganswer4,explanation,bookmark,bookinComp,bookTime,rese,wronganswer5
591,"A normal heart, when subjected to exertion or stress will:",13,Increase it's rate,Decrease it's rate,Decrease blood pressure,Increase blood pressure,,"A normal heart will increase its rate when subjected to stress or exertion, this could raise blood pressure, but often other factors of the body might lower it. ",,,,,
592,"The term ""Acute Coronary Syndrome"" (ACS) means: ",13,Any time that the heart muscle is not getting enough oxygen,Sudden death of cells in the heart,Any situation where the heart stops beating,A heart attack,,"ACS refers to any situation where the heart is starved for oxygen, regardless of how this happens. ",,,,,
593,"Your patient is a 58-year-old male complaining of 8/10 chest pain. He has a prescription for nitroglycerin and you notice a bottle on the counter. Your patient's blood pressure is 108/58 and has not taken any drugs for erectile dysfunction in the past 24-48 hours. After giving 1 dose, you should?",13,"Take a blood pressure, ask the patient about their pain, and if necessary give a second dose five minutes after the first dose was administered", Question the patient about any allergies and give a second dose in five minutes if the blood pressure is adequate, Wait five minutes and administer a second dose,"Check a blood pressure and if adequate, repeat a second dose immediately",,You have already asked the patient about allergies before you administered the first dose. Check a blood pressure and if above 90-100 mmHg (depending on local protocols) give a second dose if the patient is still experiencing chest pain.,,,,,
594,"Your patient is pulseless and apneic. Your partner performs CPR while you ready the AED. The AED analyzes the patient's heart rhythm and gives a ""No Shock Advised"" message. What should you do next?",13, Resume CPR for 2 minutes, Allow the AED to reanalyze the patient's heart rhythm, Check the patient's pulse, Provide 100% supplemental oxygen and rapid transport,,New AHA guidelines indicate that you continue CPR for 2 minutes.,,,,,
595,A bradycardia heart rhythm in an adult Patient can be classified as?,13, Less than 60 beats per minute, Less than 40 beats per minute, Between 40 and 60 beats per minute, Between 40 and 80 beats per minute,,"Bradycardic is SLOW Heart Rate. Since adults should be 60-100, then less than 60 is slow.",,,,,
596,"You are called to an office building for a 54-year-old male who is complaining of severe chest pain that began about 30 minutes ago. He describes this pain as 9/10, sharp, nothing makes it better or worse, and he says he has never felt like this in his life. What other symptoms would you expect to see with this patient?",13," Tachycardia, nausea, shortness of breath"," Bradycardia, cyanosis, broken ribs"," Apnea, rebound tenderness, nausea"," Tachycardia, altered mental status, hypoglycemia",,"Symptoms such as tachycardia, nausea, and shortness of breath are common symptoms seen in the presence of chest pain.",,,,,
597,What is the rate of compressions that is recommended by the AHA when performing two-rescuer CPR on an adult?,13, At least 100/min, At least 50/min, At least 25/min, At least 150/min,,The AHA recommends that rescuers performing CPR deliver and maintain a rate of at least 100 compressions/minute.,,,,,
598,"While performing chest compressions, where do you want to ensure your hands are located?",13, The lower half of the breastbone, The upper half of the breastbone, On the manubrium, The xiphoid process,,Correct hand placement for chest compressions is the center of the chest over the lower half of the breastbone.,,,,,
599,The right ventricle is responsible for which of the following actions?,13, Pumping blood to the lungs, Receiving blood from the lungs, Receiving blood from the veins of the body, Pumping blood to the body,,The right ventricle is responsible for pumping deoxygenated blood to the lungs. Remember that diagram of the blood flowing through the body with red or blue signifying oxygenated or deoxygenated blood? This question is easy once you have that down!,,,,,
600,"In the human heart, blood flows from the pulmonary veins into the?",13, Left atrium, Right atrium, Right ventricle, Left ventricle,,"Oxygenated blood flows from the lungs through the pulmonary veins into the left atrium of the heart. It then enters the left ventricle via the mitral valve (bicuspid valve), where the left ventricle pumps the oxygenated blood into systemic circulation. You need to know your cardiac anatomy!",,,,,
601,You respond to a shopping mall for a cardiac arrest. You arrive to find a male in cardiac arrest and an AED attached by a security officer. The AED is charged and ready to deliver a shock. Your first response should be?,13, Allow the AED to deliver the initial shock, Perform CPR, Check the patient's responsiveness, Remove the AED and apply your own monitor,,"The best treatment for a shockable rhythm is defibrillation. If the AED is in the process of delivering a shock, you should allow it to do so. Removing the AED and putting on your own equipment will waste time and delay treatment.",,,,,
602,There are two types of valves in the heart. The mitral and tricuspid valves are which kind of valve?,13, Atrioventricular, Semilunar, Aortic, Pulmonic,,"The two types of valves in the heart are atrioventricular and semilunar. The mitral (bicuspid) valve and the tricuspid valve are atrioventricular valves, meaning the separate the atria and ventricles. The pulmonic and aortic valves are both semilunar valves.",,,,,
603,"You are called to the residence of a 93-year-old woman. Her home health-aide described stroke-like symptoms to dispatch over the phone prior to arrival. The symptoms included numbness of the face, severe headache, weakness in the extremities and difficulty speaking. By the time your crew arrives, the symptoms are gone. What is the likely cause of these symptoms?",13, Transient Ischemic Attack, Migraine, Head trauma, Stroke,,"A transient ischemic attack (TIA) is also referred to as a ""mini-stroke"". The patient will have all the signs and symptoms of a stroke, but the episode is transient, so it will be present and then resolve. TIAs are known to be a sign of risk of future stroke.",,,,,
604,AED stands for which of the following?,13, Automated external defibrillator, Automatic ectopic defibrillator, Automatic external defibrillator, Automated ectopic defibrillator,, Automated external defibrillator is correct.,,,,,
605,"Blood follows a specific pathway through the heart. After traveling through the right atrium, blood goes through WHICH valve into the right ventricle?",13, Tricuspid Valve, Aortic Valve, Pulmonary Valve, Bicuspid Valve,,"The pathway of blood through the heart is superior vena cava, right atrium, tricuspid valve, right ventricle, lungs for oxygenation, pulmonary valve, left atrium, bicuspid valve, left ventricle, aortic valve, aorta.",,,,,
